top_down,top_down_subsets,binary_search
13,245,18
17,225,23
23,168,29
29,178,56
12,234,17
20,205,27
27,128,26
20,241,31
19,243,38
17,225,20
21,217,29
14,227,20
13,235,20
22,209,28
27,149,58
22,194,29
20,182,28
20,208,28
21,169,27
33,223,29
20,206,28
21,183,29
13,238,17
26,159,28
21,221,28
13,241,18
21,204,26
26,169,64
20,216,28
13,233,19
21,209,32
12,257,22
27,173,54
14,232,18
23,205,25
34,159,55
21,191,26
26,162,57
27,144,54
21,207,26
21,214,25
13,213,20
12,210,27
22,177,29
20,218,26
20,219,28
21,207,30
23,186,28
13,209,18
26,159,54
13,232,20
20,193,26
20,217,25
20,193,28
23,174,31
13,216,19
22,212,27
13,214,19
22,187,28
20,194,27
30,203,26
12,223,18
21,193,27
11,223,16
20,223,24
13,215,18
24,186,32
11,231,17
12,234,20
13,220,26
30,123,59
13,229,18
29,153,58
12,222,23
12,239,18
11,238,18
22,200,28
12,234,19
20,202,26
17,230,18
22,185,28
16,231,21
14,224,20
21,200,27
30,159,57
12,235,17
13,233,18
24,196,29
13,184,18
26,213,25
22,180,28
20,227,26
15,240,21
29,185,29
15,222,17
15,227,22
12,230,20
21,183,27
30,237,25
20,269,26
